Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
navan,1,1,49500,68,104.00,https://navan.com/,39600,48.89,4118400.00,0.22,8680000,"[66,81,81,81,81,100,66,81,81,81,100,66]",2025-01-07,"Knowledge panel, Image pack, Sitelinks, Reviews, Ads top, Video Carousel, People also ask, Related searches, Things to know","commercial, navigational",Organic
navan login,1,1,4400,24,10.83,https://navan.com/,3520,4.34,38121.00,0,8960000,"[43,66,54,43,81,81,81,81,81,81,81,54]",2025-01-07,"Sitelinks, Reviews, Video, Related searches","navigational, transactional",Organic
navan navan,1,1,4400,48,104.00,https://navan.com/,3520,4.34,366080.00,0.22,8270000,"[100,81,1,4,4,4,3,7,0,0,0,0]",2025-01-08,"Image pack, Sitelinks, Reviews, Video, Image, People also ask, Related searches",navigational,Organic
navan travel,1,1,3600,44,22.60,https://navan.com/,2880,3.55,65088.00,0.54,2030000,"[28,36,28,28,54,54,54,81,81,81,81,66]",2025-01-04,"Sitelinks, Reviews, Video, Image, Ads top, People also ask, Twitter carousel, Related searches",navigational,Organic
tripactions,1,1,1900,55,11.81,https://navan.com/,1520,1.87,17951.00,0.23,76,"[4,5,7,7,5,3,3,3,4,7,4,2]",2025-01-04,"Knowledge panel, Sitelinks, Reviews, Video, Image, Ads bottom, People also ask, Related searches, Things to know",navigational,Organic
login navan,1,1,1600,20,0.00,https://navan.com/,1280,1.58,0.00,0.01,1280000,"[19,100,100,0,0,0,0,0,0,0,0,0]",2025-01-06,"Sitelinks, Reviews, Related searches","navigational, transactional",Organic
navan careers,1,1,1600,24,0.00,https://navan.com/careers,1280,1.58,0.00,0,704000,"[30,66,66,79,66,66,100,66,54,41,66,41]",2025-01-05,"Sitelinks, Related searches","commercial, navigational",Organic
navan pricing,1,1,1000,21,98.26,https://navan.com/pricing,800,0.98,78608.00,0.39,487000,"[3,2,4,5,7,7,8,16,44,100,100,100]",2024-12-26,"Image pack, Sitelinks, Reviews, Video, People also ask, Related searches, Ads middle","navigational, transactional",Organic
trip actions,1,1,720,46,18.22,https://navan.com/,576,0.71,10494.00,0.21,79,"[19,5,5,7,10,10,10,4,4,4,3,3]",2025-01-01,"Knowledge panel, Sitelinks, Reviews, Video, Image, Ads top, People also ask, Related searches",navigational,Organic
navan features,1,1,590,22,0.00,https://navan.com/,472,0.58,0.00,0,946000,"[5,0,100]",2024-12-28,"Image pack, Sitelinks, Reviews, Video, People also ask, Related searches",navigational,Organic
navan all in one solution,1,1,590,15,0.00,https://navan.com/technology-and-software,472,0.58,0.00,0,430000,"[100,0,0,0,0,0]",2025-01-04,"Image pack, Sitelinks, Reviews, Video, Ads top, People also ask, Related searches","informational, transactional",Organic
navan customer service,1,1,590,20,0.00,https://navan.com/contact,472,0.58,0.00,0,69,"[44,81,81,54,54,44,44,81,67,81,100,67]",2025-01-04,"Sitelinks, Related searches","navigational, transactional",Organic
